allow_download_photo,author_pin,aweme_id,cid,collect_stat,comment_language,comment_post_item_ids,create_time,digg_count,image_list,is_author_digged,is_comment_translatable,is_high_purchase_intent,label_list,no_show,reply_comment,reply_comment_total,reply_id,reply_to_reply_id,share_info,sort_extra_score,sort_tags,status,stick_position,text,text_extra,trans_btn_style,user,user_buried,user_digged
True,False,7533660306862542093,7533688798204871437,0,en,,1754073638,1280,,False,True,False,,False,,12,0,0,"{'acl': {'code': 0, 'extra': '{}'}, 'desc': 'Alexandria Holley-Carney’s comment: This administration is fucking disgusting.', 'title': '8/1', 'url': 'https://m.tiktok.com/v/7533660306862542093.html?_d=85807i82mgg1jm&comment_author_id=6808708016307078150&preview_pb=0&share_comment_id=7533688798204871437&share_item_id=7533660306862542093&sharer_language=en-US&source=h5_m&u_code=0'}","{'reply_score': 0.000337, 'show_more_score': 0.032983}","{""top_list"":1}",1,0,This administration is fucking disgusting.,[],0,"{'account_labels': None, 'ad_cover_url': None, 'advance_feature_item_order': None, 'advanced_feature_info': None, 'avatar_thumb': {'uri': 'tos-maliva-avt-0068/3bdc90e5d71a5106ee913f4563b1ea6c', 'url_list': ['https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/3bdc90e5d71a5106ee913f4563b1ea6c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8326f021&x-expires=1754618400&x-signature=ulm62ukwuAVg4QcNSBypj%2BIoq1I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p19-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/3bdc90e5d71a5106ee913f4563b1ea6c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=56e39a16&x-expires=1754618400&x-signature=uOUBuliujECWI4NCHQHn1W3UbxM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/3bdc90e5d71a5106ee913f4563b1ea6c~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=452c595c&x-expires=1754618400&x-signature=3Wzb6MGDrTcUGHE3JfP5O%2Bfo7G0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8'], 'url_prefix': None}, 'bold_fields': None, 'can_message_follow_status_list': None, 'can_set_geofencing': None, 'cha_list': None, 'cover_url': None, 'custom_verify': '', 'enterprise_verify_reason': '', 'events': None, 'followers_detail': None, 'geofencing': None, 'homepage_bottom_toast': None, 'item_list': None, 'mutual_relation_avatars': None, 'need_points': None, 'nickname': 'Alexandria Holley-Carney', 'platform_sync_info': None, 'relative_users': None, 'search_highlight': None, 'sec_uid': 'MS4wLjABAAAATN2mF5o8v5WC2_xby9HrMtTcAmO3OOG0YLXQjGBubODBk5jTafpiETkIJ5no2dpg', 'shield_edit_field_info': None, 'type_label': None, 'uid': '6808708016307078150', 'unique_id': 'alwaysalexandria182', 'user_profile_guide': None, 'user_tags': None, 'white_cover_url': None}",False,0
True,False,7533660306862542093,7533661760470303502,0,en,,1754067335,1675,,False,True,False,,False,,3,0,0,"{'acl': {'code': 0, 'extra': '{}'}, 'desc': 'Addison.’s comment: *pretends to be shocked*', 'title': '8/1', 'url': 'https://m.tiktok.com/v/7533660306862542093.html?_d=85807i82mgg1jm&comment_author_id=7283042454814065706&preview_pb=0&share_comment_id=7533661760470303502&share_item_id=7533660306862542093&sharer_language=en-US&source=h5_m&u_code=0'}","{'reply_score': 5.7e-05, 'show_more_score': 0.007203}","{""top_list"":1}",1,0,*pretends to be shocked*,[],0,"{'account_labels': None, 'ad_cover_url': None, 'advance_feature_item_order': None, 'advanced_feature_info': None, 'avatar_thumb': {'uri': 'tos-useast5-avt-0068-tx/2c377e4e72b0b1bf3a2d4aa94a5a287a', 'url_list': ['https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/2c377e4e72b0b1bf3a2d4aa94a5a287a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=300de716&x-expires=1754618400&x-signature=FpxnioN5eEqohJAAL%2B2vOLe5Yjs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/2c377e4e72b0b1bf3a2d4aa94a5a287a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=89e67237&x-expires=1754618400&x-signature=hT1q5%2BojIfbX%2Bn8DN4tspzmzr6M%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/2c377e4e72b0b1bf3a2d4aa94a5a287a~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=e67a5c04&x-expires=1754618400&x-signature=u%2BTuogR6dpmOpcsysdKLG1j3StY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8'], 'url_prefix': None}, 'bold_fields': None, 'can_message_follow_status_list': None, 'can_set_geofencing': None, 'cha_list': None, 'cover_url': None, 'custom_verify': '', 'enterprise_verify_reason': '', 'events': None, 'followers_detail': None, 'geofencing': None, 'homepage_bottom_toast': None, 'item_list': None, 'mutual_relation_avatars': None, 'need_points': None, 'nickname': 'Addison.', 'platform_sync_info': None, 'relative_users': None, 'search_highlight': None, 'sec_uid': 'MS4wLjABAAAAL12ZPTP7nadMGZFC_qRz7yim1NOgR93CGx7yiOiT-lTwFXxn3vjqtv7fcCCxeoAw', 'shield_edit_field_info': None, 'type_label': None, 'uid': '7283042454814065706', 'unique_id': 'addisonmcdanel5', 'user_profile_guide': None, 'user_tags': None, 'white_cover_url': None}",False,0
True,False,7533660306862542093,7533663528160854798,0,en,,1754067766,960,,False,True,False,,False,,34,0,0,"{'acl': {'code': 0, 'extra': '{}'}, 'desc': 'Eriahoy’s comment: I smell a pardon coming to keep her quiet on Trump.', 'title': '8/1', 'url': 'https://m.tiktok.com/v/7533660306862542093.html?_d=85807i82mgg1jm&comment_author_id=6550696954752745481&preview_pb=0&share_comment_id=7533663528160854798&share_item_id=7533660306862542093&sharer_language=en-US&source=h5_m&u_code=0'}","{'reply_score': 0.00036, 'show_more_score': 0.026384}","{""top_list"":1}",1,0,I smell a pardon coming to keep her quiet on Trump.,[],0,"{'account_labels': None, 'ad_cover_url': None, 'advance_feature_item_order': None, 'advanced_feature_info': None, 'avatar_thumb': {'uri': 'tos-useast5-avt-0068-tx/1d1ac0fcae39adda0fa9fa082128694c', 'url_list': ['https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/1d1ac0fcae39adda0fa9fa082128694c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9843af33&x-expires=1754618400&x-signature=6pOlUZfeNQHoA5qlwra6tKZb2tU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/1d1ac0fcae39adda0fa9fa082128694c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6d8c9547&x-expires=1754618400&x-signature=S%2BIpGUC28VX3ZkonD%2F60UlnyCXc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/1d1ac0fcae39adda0fa9fa082128694c~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=034f5356&x-expires=1754618400&x-signature=Zt7q7uWopE78Wd2l7%2B4MZbPv5ic%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8'], 'url_prefix': None}, 'bold_fields': None, 'can_message_follow_status_list': None, 'can_set_geofencing': None, 'cha_list': None, 'cover_url': None, 'custom_verify': '', 'enterprise_verify_reason': '', 'events': None, 'followers_detail': None, 'geofencing': None, 'homepage_bottom_toast': None, 'item_list': None, 'mutual_relation_avatars': None, 'need_points': None, 'nickname': 'Eriahoy', 'platform_sync_info': None, 'relative_users': None, 'search_highlight': None, 'sec_uid': 'MS4wLjABAAAAFrkfdYB0DQK7-zYPO71AYoc4LIV-5rwZKSMuFdsy53ljRqgEXD596XJ9ALLn6Bpn', 'shield_edit_field_info': None, 'type_label': None, 'uid': '6550696954752745481', 'unique_id': 'eriahoy', 'user_profile_guide': None, 'user_tags': None, 'white_cover_url': None}",False,0
True,False,7533660306862542093,7533673011632456503,0,en,,1754069962,374,,False,True,False,,False,,3,0,0,"{'acl': {'code': 0, 'extra': '{}'}, 'desc': 'Craig Fletcher’s comment: She going to be pardoned and will only name Trump enemies in Epstien matters.', 'title': '8/1', 'url': 'https://m.tiktok.com/v/7533660306862542093.html?_d=85807i82mgg1jm&comment_author_id=6898323291179746310&preview_pb=0&share_comment_id=7533673011632456503&share_item_id=7533660306862542093&sharer_language=en-US&source=h5_m&u_code=0'}","{'reply_score': 0.000194, 'show_more_score': 0.022777}","{""top_list"":1}",1,0,She going to be pardoned and will only name Trump enemies in Epstien matters.,[],0,"{'account_labels': None, 'ad_cover_url': None, 'advance_feature_item_order': None, 'advanced_feature_info': None, 'avatar_thumb': {'uri': 'tos-maliva-avt-0068/7321925410190311430', 'url_list': ['https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7321925410190311430~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f882d630&x-expires=1754618400&x-signature=YqU3HVIAdugRqQUV8ieq9XmBIUE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p19-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7321925410190311430~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=df8e3bea&x-expires=1754618400&x-signature=witeO9C3I9ONGyMDzAeJECdcYGw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7321925410190311430~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=bc7e465c&x-expires=1754618400&x-signature=lyECJfRMuMzgxsZLyZP51%2BI8Pqw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8'], 'url_prefix': None}, 'bold_fields': None, 'can_message_follow_status_list': None, 'can_set_geofencing': None, 'cha_list': None, 'cover_url': None, 'custom_verify': '', 'enterprise_verify_reason': '', 'events': None, 'followers_detail': None, 'geofencing': None, 'homepage_bottom_toast': None, 'item_list': None, 'mutual_relation_avatars': None, 'need_points': None, 'nickname': 'Craig Fletcher', 'platform_sync_info': None, 'relative_users': None, 'search_highlight': None, 'sec_uid': 'MS4wLjABAAAAl5lox2B_R73EX6k9zIui1TCbfQXdexOOL8Nw3rEfv69GQqYJ2d1J6OlltBHg_V_r', 'shield_edit_field_info': None, 'type_label': None, 'uid': '6898323291179746310', 'unique_id': 'headlightbandit', 'user_profile_guide': None, 'user_tags': None, 'white_cover_url': None}",False,0
True,False,7533660306862542093,7533663292922872589,0,en,,1754067708,140,,False,True,False,,False,,4,0,0,"{'acl': {'code': 0, 'extra': '{}'}, 'desc': 'ohnomelon’s comment: ""Huh? Donald? He was never at the parties, he always stayed in the back donating to the kids and praying by the candles""', 'title': '8/1', 'url': 'https://m.tiktok.com/v/7533660306862542093.html?_d=85807i82mgg1jm&comment_author_id=7057461504970458117&preview_pb=0&share_comment_id=7533663292922872589&share_item_id=7533660306862542093&sharer_language=en-US&source=h5_m&u_code=0'}","{'reply_score': 0.000277, 'show_more_score': 0.032576}","{""top_list"":1}",1,0,"""Huh? Donald? He was never at the parties, he always stayed in the back donating to the kids and praying by the candles""",[],0,"{'account_labels': None, 'ad_cover_url': None, 'advance_feature_item_order': None, 'advanced_feature_info': None, 'avatar_thumb': {'uri': 'tos-useast5-avt-0068-tx/3240f70c25dd19f0a7ea0331bb41b0b4', 'url_list': ['https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/3240f70c25dd19f0a7ea0331bb41b0b4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a3b489be&x-expires=1754618400&x-signature=ijBOxSCYs4npiC55QisimLPPj08%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/3240f70c25dd19f0a7ea0331bb41b0b4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8ccd12a8&x-expires=1754618400&x-signature=9ZoaM7ZftvvPyfN%2BxrPuZTpBx4c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/3240f70c25dd19f0a7ea0331bb41b0b4~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=10284b41&x-expires=1754618400&x-signature=bq7%2B3RFulmDXOEgV8K%2Buw5BCzDg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8'], 'url_prefix': None}, 'bold_fields': None, 'can_message_follow_status_list': None, 'can_set_geofencing': None, 'cha_list': None, 'cover_url': None, 'custom_verify': '', 'enterprise_verify_reason': '', 'events': None, 'followers_detail': None, 'geofencing': None, 'homepage_bottom_toast': None, 'item_list': None, 'mutual_relation_avatars': None, 'need_points': None, 'nickname': 'ohnomelon', 'platform_sync_info': None, 'relative_users': None, 'search_highlight': None, 'sec_uid': 'MS4wLjABAAAAMpdF_vneN2CSHUPP0b3cOxL68z9Av0XwXqFOGAlC8FXwo87Sl7dWXRApEgwDyicu', 'shield_edit_field_info': None, 'type_label': None, 'uid': '7057461504970458117', 'unique_id': 'ohnomelons', 'user_profile_guide': None, 'user_tags': None, 'white_cover_url': None}",False,0
True,False,7533660306862542093,7533671773537370910,0,en,,1754069674,130,,False,True,False,,False,,0,0,0,"{'acl': {'code': 0, 'extra': '{}'}, 'desc': 'Lynn’s comment: He’s going to pardon her, because they’re both guilty as hell.', 'title': '8/1', 'url': 'https://m.tiktok.com/v/7533660306862542093.html?_d=85807i82mgg1jm&comment_author_id=7422806680696849450&preview_pb=0&share_comment_id=7533671773537370910&share_item_id=7533660306862542093&sharer_language=en-US&source=h5_m&u_code=0'}","{'reply_score': 0.000103, 'show_more_score': 0.005216}","{""top_list"":1}",1,0,"He’s going to pardon her, because they’re both guilty as hell.",[],0,"{'account_labels': None, 'ad_cover_url': None, 'advance_feature_item_order': None, 'advanced_feature_info': None, 'avatar_thumb': {'uri': 'tos-useast5-avt-0068-tx/393f528f01428602cc96d722ad53ff5e', 'url_list': ['https://p16-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/393f528f01428602cc96d722ad53ff5e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=eb1409db&x-expires=1754618400&x-signature=J8R36j7wPcnAMzx9XhoDI5dzVcc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p19-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/393f528f01428602cc96d722ad53ff5e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ec683a5a&x-expires=1754618400&x-signature=13uz0%2BgJRFGvm0xWu%2FWtQIc%2Bhko%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p16-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/393f528f01428602cc96d722ad53ff5e~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=295989a7&x-expires=1754618400&x-signature=GslX63NjNGeBDMYXF8Fkx51QR6o%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8'], 'url_prefix': None}, 'bold_fields': None, 'can_message_follow_status_list': None, 'can_set_geofencing': None, 'cha_list': None, 'cover_url': None, 'custom_verify': '', 'enterprise_verify_reason': '', 'events': None, 'followers_detail': None, 'geofencing': None, 'homepage_bottom_toast': None, 'item_list': None, 'mutual_relation_avatars': None, 'need_points': None, 'nickname': 'Lynn', 'platform_sync_info': None, 'relative_users': None, 'search_highlight': None, 'sec_uid': 'MS4wLjABAAAAM5j3rDBXTsGQ5UD_52O0wZ51wIKjTrWo2__2S-nutOuYFXLcp-bZCL41EyVYAP84', 'shield_edit_field_info': None, 'type_label': None, 'uid': '7422806680696849450', 'unique_id': 'lynnhardyshumway', 'user_profile_guide': None, 'user_tags': None, 'white_cover_url': None}",False,0
True,False,7533660306862542093,7533661651414598422,0,en,,1754067305,1278,,False,True,True,,False,,4,0,0,"{'acl': {'code': 0, 'extra': '{}'}, 'desc': 'Sean’s comment: I wonder how many minutes will be missing from the tape??', 'title': '8/1', 'url': 'https://m.tiktok.com/v/7533660306862542093.html?_d=85807i82mgg1jm&comment_author_id=6747995813613552645&preview_pb=0&share_comment_id=7533661651414598422&share_item_id=7533660306862542093&sharer_language=en-US&source=h5_m&u_code=0'}","{'reply_score': 3e-05, 'show_more_score': 0.017753}","{""top_list"":1}",1,0,I wonder how many minutes will be missing from the tape??,[],0,"{'account_labels': None, 'ad_cover_url': None, 'advance_feature_item_order': None, 'advanced_feature_info': None, 'avatar_thumb': {'uri': 'tos-maliva-avt-0068/7332154942700535813', 'url_list': ['https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7332154942700535813~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b81a15d8&x-expires=1754618400&x-signature=capuLvdyQ1NRpACnyXUmBOAVkjA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p19-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7332154942700535813~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e53b95e5&x-expires=1754618400&x-signature=q%2FT3duEihcNA%2B2lcyH8VsiSHtb0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7332154942700535813~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=fba93bba&x-expires=1754618400&x-signature=gKo9ApdWB5VAa%2FQ5r7MgwlvDQWM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8'], 'url_prefix': None}, 'bold_fields': None, 'can_message_follow_status_list': None, 'can_set_geofencing': None, 'cha_list': None, 'cover_url': None, 'custom_verify': '', 'enterprise_verify_reason': '', 'events': None, 'followers_detail': None, 'geofencing': None, 'homepage_bottom_toast': None, 'item_list': None, 'mutual_relation_avatars': None, 'need_points': None, 'nickname': 'Sean', 'platform_sync_info': None, 'relative_users': None, 'search_highlight': None, 'sec_uid': 'MS4wLjABAAAA_B6C6FwPCb3acuJ_0oozV3fYnfNu3lQt0-LcaY8qSXIN07luCVJVXDgKHWEJXaRr', 'shield_edit_field_info': None, 'type_label': None, 'uid': '6747995813613552645', 'unique_id': 'sean3869', 'user_profile_guide': None, 'user_tags': None, 'white_cover_url': None}",False,0
True,False,7533660306862542093,7533661885036970782,0,en,,1754067361,125,,False,True,True,,False,,1,0,0,"{'acl': {'code': 0, 'extra': '{}'}, 'desc': 'Dollathemonsignor’s comment: they are going to release her..she has maximum time..and they put her in a minimum facility', 'title': '8/1', 'url': 'https://m.tiktok.com/v/7533660306862542093.html?_d=85807i82mgg1jm&comment_author_id=7476902427808547882&preview_pb=0&share_comment_id=7533661885036970782&share_item_id=7533660306862542093&sharer_language=en-US&source=h5_m&u_code=0'}","{'reply_score': 5.7e-05, 'show_more_score': 0.003529}","{""top_list"":1}",1,0,they are going to release her..she has maximum time..and they put her in a minimum facility,[],0,"{'account_labels': None, 'ad_cover_url': None, 'advance_feature_item_order': None, 'advanced_feature_info': None, 'avatar_thumb': {'uri': 'tos-useast8-avt-0068-tx2/a99bb2fee123a7c6fdfb1b0b78b62b09', 'url_list': ['https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/a99bb2fee123a7c6fdfb1b0b78b62b09~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bf9aa0e7&x-expires=1754618400&x-signature=AgfafQaGxZaYGVv3BPsAo5H02gc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/a99bb2fee123a7c6fdfb1b0b78b62b09~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=de0d47c3&x-expires=1754618400&x-signature=o9HnBaLlPw00zKM8gBf6PwYUrEc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/a99bb2fee123a7c6fdfb1b0b78b62b09~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=3c66b48b&x-expires=1754618400&x-signature=Lv0%2BKjSZdr4g2AnUIGqeGL2WZ5g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8'], 'url_prefix': None}, 'bold_fields': None, 'can_message_follow_status_list': None, 'can_set_geofencing': None, 'cha_list': None, 'cover_url': None, 'custom_verify': '', 'enterprise_verify_reason': '', 'events': None, 'followers_detail': None, 'geofencing': None, 'homepage_bottom_toast': None, 'item_list': None, 'mutual_relation_avatars': None, 'need_points': None, 'nickname': 'Dollathemonsignor', 'platform_sync_info': None, 'relative_users': None, 'search_highlight': None, 'sec_uid': 'MS4wLjABAAAA5PbqBRdszkciUSVfCi71jYpf3Hj2IkKo5P7_7xsBTUKGkLwi0XcBOouTlL2C4ThI', 'shield_edit_field_info': None, 'type_label': None, 'uid': '7476902427808547882', 'unique_id': 'dollathemonsignor', 'user_profile_guide': None, 'user_tags': None, 'white_cover_url': None}",False,0
True,False,7533660306862542093,7533663246998717215,0,en,,1754067679,220,,False,True,False,,False,,0,0,0,"{'acl': {'code': 0, 'extra': '{}'}, 'desc': 'KRushC’s comment: Not shady at all…nothing to see here 🙄', 'title': '8/1', 'url': 'https://m.tiktok.com/v/7533660306862542093.html?_d=85807i82mgg1jm&comment_author_id=7012435955571672069&preview_pb=0&share_comment_id=7533663246998717215&share_item_id=7533660306862542093&sharer_language=en-US&source=h5_m&u_code=0'}","{'reply_score': 2.7e-05, 'show_more_score': 3.8e-05}","{""top_list"":1}",1,0,Not shady at all…nothing to see here 🙄,[],0,"{'account_labels': None, 'ad_cover_url': None, 'advance_feature_item_order': None, 'advanced_feature_info': None, 'avatar_thumb': {'uri': 'tos-useast8-avt-0068-tx2/d1e1345dc31f0f0ac0fe4fcdea70652a', 'url_list': ['https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/d1e1345dc31f0f0ac0fe4fcdea70652a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ad51cfe4&x-expires=1754618400&x-signature=7Y2bMGfXW9qN%2BzOYiYiKCXTCUKU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/d1e1345dc31f0f0ac0fe4fcdea70652a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=04b50962&x-expires=1754618400&x-signature=Pxi%2F6OHK5yoe37TKrH4P9a52gQs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/d1e1345dc31f0f0ac0fe4fcdea70652a~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=c888ea27&x-expires=1754618400&x-signature=haAnWxWKQsquxhd6E4GYZ%2FswTHA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8'], 'url_prefix': None}, 'bold_fields': None, 'can_message_follow_status_list': None, 'can_set_geofencing': None, 'cha_list': None, 'cover_url': None, 'custom_verify': '', 'enterprise_verify_reason': '', 'events': None, 'followers_detail': None, 'geofencing': None, 'homepage_bottom_toast': None, 'item_list': None, 'mutual_relation_avatars': None, 'need_points': None, 'nickname': 'KRushC', 'platform_sync_info': None, 'relative_users': None, 'search_highlight': None, 'sec_uid': 'MS4wLjABAAAAB54EUPcCK2eMjwh7G2xqur83PtH6lNuARl2XGyBomXdlPGVtnnmSIC5_8fkO7JWN', 'shield_edit_field_info': None, 'type_label': None, 'uid': '7012435955571672069', 'unique_id': 'krushc', 'user_profile_guide': None, 'user_tags': None, 'white_cover_url': None}",False,0
True,False,7533660306862542093,7533661908806910775,0,en,,1754067377,285,,False,True,False,,False,,37,0,0,"{'acl': {'code': 0, 'extra': '{}'}, 'desc': 'Jeffy Jo’s comment: She’s gon name democrats…', 'title': '8/1', 'url': 'https://m.tiktok.com/v/7533660306862542093.html?_d=85807i82mgg1jm&comment_author_id=6806833186573042694&preview_pb=0&share_comment_id=7533661908806910775&share_item_id=7533660306862542093&sharer_language=en-US&source=h5_m&u_code=0'}","{'reply_score': 0.000618, 'show_more_score': 0.046407}","{""top_list"":1}",1,0,She’s gon name democrats…,[],0,"{'account_labels': None, 'ad_cover_url': None, 'advance_feature_item_order': None, 'advanced_feature_info': None, 'avatar_thumb': {'uri': 'tos-useast5-avt-0068-tx/7364538501834932267', 'url_list': ['https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7364538501834932267~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3c363d3a&x-expires=1754618400&x-signature=XjEHJmkHYzHkO5%2Bs%2B4ALHsN%2FKrk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7364538501834932267~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ee4c5ddc&x-expires=1754618400&x-signature=arBRfoqczqG1az0tvjDfTVB2AF4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8', 'https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7364538501834932267~tplv-tiktokx-cropcenter:100:100.jpeg?dr=9640&refresh_token=db5180e8&x-expires=1754618400&x-signature=zbwfRbEZYIL5fGNkigBK0BFUH%2Fo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8'], 'url_prefix': None}, 'bold_fields': None, 'can_message_follow_status_list': None, 'can_set_geofencing': None, 'cha_list': None, 'cover_url': None, 'custom_verify': '', 'enterprise_verify_reason': '', 'events': None, 'followers_detail': None, 'geofencing': None, 'homepage_bottom_toast': None, 'item_list': None, 'mutual_relation_avatars': None, 'need_points': None, 'nickname': 'Jeffy Jo', 'platform_sync_info': None, 'relative_users': None, 'search_highlight': None, 'sec_uid': 'MS4wLjABAAAAAO0qTCrdDcnZT2r8rvEHuQ21WL4xdzPvuOIdXj8gg_uosQZgSdECel2FdJlvotWq', 'shield_edit_field_info': None, 'type_label': None, 'uid': '6806833186573042694', 'unique_id': 'jeffyjo', 'user_profile_guide': None, 'user_tags': None, 'white_cover_url': None}",False,0
