video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7535227284136021303,2025-08-05T23:00:00,49,US,486,19,43,4443,Voices 🆙  Drones out. #TWICE on #KpopDemonHunters,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7535224456801733943,2025-08-05T21:59:51,26,US,481,4,32,11600,"""womb raider"" took me out 💀 #PerfectMatch is now playing!",False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7535199920593145101,2025-08-05T21:00:00,0,US,3770,120,66,32200,can't wait to be back w the Walter boys!! and Jackie ofc ❤️ My Life with the Walter Boys S2 premieres August 28,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7535137706435824909,2025-08-05T19:00:00,65,US,4542,199,81,67100,@badbunny dubs Adam Sandler movies in Spanish #HappyGilmore2,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7535135659669933325,2025-08-05T18:00:00,67,US,4947,46,79,59400,Ready to be whisked away by Sofia Carson and Corey Mylchreest in #MyOxfordYear,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7535127725124750606,2025-08-05T17:00:00,45,US,9141,164,190,99800,poor Thing had to wait for Wednesday with the normies @ the airport! @wednesdaynetflix #wednesdaynetflix,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7535108502914600247,2025-08-05T16:00:00,12,US,70400,1820,511,463600,"the brighter the light, the darker the shadows. #WednesdayNetflix",False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7535075220047154487,2025-08-05T15:00:00,101,US,324500,53900,2096,2100000,"When you finally let go of your past and follow your heart, you find your true home 💖🏡 Season 2 of #MyLifeWithTheWalterBoys drops August 28th!",False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7535073125097082125,2025-08-05T14:00:00,86,US,1557,32,69,63300,"Do you know how difficult it is to be yourself? JAY KELLY stars George Clooney, Adam Sandler, Laura Dern, and Billy Crudup. A Noah Baumbach Picture.   In select theaters November 14 and on Netflix December 5.",False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7534938934023916813,2025-08-05T13:00:00,17,US,292800,12900,1574,2500000,"jenna. hey, jenna. JENNA!!! season 2 is coming tomorrow #WenesdayNetflix",False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7534992456513768718,2025-08-05T07:00:15,0,PH,1187,20,116,53800,Of course Thing would give that many 👍 to Tasmanian Devils. Chaos recognises chaos. #WednesdayNetflix #austok,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7534880131249229111,2025-08-05T03:00:00,32,PH,4396,102,97,103700,Protect George at all costs 🥺 #Fisk #austok,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7534814891652304141,2025-08-04T19:30:38,20,US,2928,415,161,110900,anyways.... #perfectmatch season 3 is now playing!,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7534754014198631693,2025-08-04T18:00:00,31,US,202500,13000,629,1300000,seems like Nikki and Noah are trying to tell Ashby something #MyLifeWithTheWalterBoys 🤠,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7534776042964241719,2025-08-04T17:00:05,49,US,5227,100,135,149600,i never know what im getting with @ilysmnails and i love it #HappyGilmore2,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7534740745077509390,2025-08-04T16:00:00,62,US,214400,2070,276,1500000,@SofiaCarson IS A POET! #myoxfordyear 🎢: @Knott’s Berry Farm  💬: @Kinsey Wolanski ,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7534697499664174349,2025-08-04T15:00:00,131,GB,3704,897,71,116000,"true connections begin in the pods 💜 #LoveIsBlind: UK S2 starts 13 August 🎶 featuring an exclusive snippet of JOY by @ritaora, releasing 8 August!",False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7534636778888662285,2025-08-04T08:00:14,0,PH,9499,236,293,142900,✈️🖐️SPOTTED: Thing has touched down in Sydney and doing some sight-seeing ahead of his mates arriving for Wednesday Island. #Wednesday #austok #WednesdayNetflix,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7534379795912625422,2025-08-03T21:00:00,15,US,5568,71,228,107400,the immaculate academia vibes in #MyOxfordYear,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7534333214404431118,2025-08-03T16:00:00,57,US,1866,41,156,91400,Amy Bradley Is Missing is now playing. #AmyBradleyIsMissing,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
7534142234573163789,2025-08-03T15:00:00,106,US,311100,6714,620,2500000,#CoreyMylchreest teaches #SofiaCarson everything and nothing about how to be British! #MyOxfordYear is now playing,False,,netflix,Netflix,48800000,392,1500000000,7401,4733,True,,,
