video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7433870905635409198,2024-11-05T18:55:56,8,US,5400000,96300,290400,92400000,TODAY IS THE DAY — GET OUT AND VOTE!,False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7433682490071452970,2024-11-05T06:44:50,9,US,1200000,28100,52300,23800000,"THANK YOU MEGYN KELLY, GREAT HONOR!",False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7433620706157497646,2024-11-05T02:44:58,7,US,1100000,16500,37600,20700000,"THANK YOU, JOE — GREAT HONOR!",False,JOE ROGAN ENDORSES,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7433546039254142250,2024-11-04T21:55:16,8,US,719900,14600,27600,15400000,TIME TO LIVE THE AMERICAN DREAM,False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7433207554638892331,2024-11-04T00:01:43,12,US,428600,5797,19300,11400000,I’LL PUT AMERICA FIRST!,False,"📍GASTONIA, NC",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7432520023958146335,2024-11-02T03:33:58,17,US,660000,14800,38100,13900000,CLOSE THE BORDER FOR A BETTER FUTURE,False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7432465128823491870,2024-11-02T00:00:50,5,US,276800,5275,9978,8900000,PEACE IN THE MIDDLE EAST,False,"VISITED A CAFE IN MICHIGAN ;📍DEARBORN, MI",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7432185030606195999,2024-11-01T05:54:18,15,US,659000,14200,12100,9600000,BETTER OFF 4 YEARS AGO,False,No!,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7432112271288995102,2024-11-01T01:11:34,6,US,786700,10300,22000,12100000,@Mark Cuban ,False,"STRONG INTELLIGENT
WOMEN",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7432033408731155743,2024-10-31T20:05:33,190,US,357000,28100,9865,7500000,,False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7431991177563426078,2024-10-31T17:21:47,27,US,262900,5700,9957,6300000,"THANK YOU, WISCONSIN!",False,"📍 GREEN BAY, WI",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7431703427366898974,2024-10-30T22:45:08,7,US,1400000,75200,21200,17400000,HOW DO YOU LIKE MY GARBAGE TRUCK?,False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7430643597130747166,2024-10-28T02:12:27,14,US,689300,9998,14500,8900000,NEW YORK — I LOVE YOU!,False,MADISON SQUARE GARDEN — NYC,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7430222654050766111,2024-10-26T22:58:59,10,US,2300000,134500,48200,28300000,"THANK YOU, MICHIGAN—GREAT HONOR!",False,"📍 NOVI, MI",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7429868500140739870,2024-10-26T00:04:42,9,US,1900000,88000,29400,17100000,HELLO WORLD!,False,DJT X JRE,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7429559314722950430,2024-10-25T04:05:02,9,US,358400,10700,10200,6500000,"THANK YOU, LATINOS FOR TRUMP!",False,"STOPPED BY LOCAL
CUBAN RESTAURANT ",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7429118480101690655,2024-10-23T23:34:06,22,US,346100,4142,9760,5300000,"THANK YOU, GEORGIA—I LOVE YOU!",False,"I GREETED A MASSIVE CROWD WAITING OUTSIDE;MAGA;📍ZEBULON, GA",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7428819773699411230,2024-10-23T04:15:12,16,US,715200,15500,8349,7300000,"WELCOME, TULSI GABBARD-MAGA!",False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7428436665862999326,2024-10-22T03:28:20,21,US,469500,10000,13800,4900000,GREAT HONOR TO BE WITH FAITH LEADERS ,False,"📍 ASHEVILLE, NC",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7428083476278136094,2024-10-21T04:38:06,11,US,2000000,60000,39300,18700000,"THANK YOU, PITTSBURGH!",False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7427944558576667935,2024-10-20T19:38:52,18,US,5100000,548800,58100,50600000,I’ve offically worked longer at McDonalds than Kamala!,False,I WORKED A SHIFT AT MCDONALD’S,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7427690888819739934,2024-10-20T03:14:26,32,US,5100000,113100,50300,46200000,"Get well soon, Justin! #stitch with  @Amanda ",False,STITCH INCOMING: 5;STITCH INCOMING: 4;STITCH INCOMING: 3;STITCH INCOMING: 2;STITCH INCOMING: 1;Hear me out on this one;have lunch;in the White House ;with Donald Trump,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7427237451954965791,2024-10-18T21:54:55,16,US,2500000,347500,49300,36000000,TAKE YOUR PICK,False,AMERICA DEPENDS ON IT,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7426861947007569183,2024-10-17T21:37:37,15,US,557400,13600,11000,8200000,GREAT TO BE BACK IN THE BRONX!,False,"I VISITED A BARBERSHOP
IN THE BRONX 💈;📍 BRONX, NY",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7425371471394016543,2024-10-13T21:13:53,13,US,2000000,43800,20700,14800000,"THANK YOU, COACHELLA!",False,"📍 COACHELLA, CA",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7424138344474430750,2024-10-10T13:28:43,23,US,3100000,73200,27500,25500000,LET’S WIN SO BIG!,False,"📍 READING, PA",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7422521157389274399,2024-10-06T04:53:19,24,US,927500,19300,30500,11600000,"THANK YOU, PENNSYLVANIA!",False,"📍 BUTLER, PA",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7422076887213640991,2024-10-05T00:09:15,29,US,385900,9531,9483,5200000,MY ALL TIME FAVORITE CHART,False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7420609855821597982,2024-10-01T01:16:27,14,US,548000,8625,10900,5000000,We love you Georgia • Support the Hurricane Helena Victims - Link in Bio ,False,"📍 VALDOSTA, GA",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7419918297992285471,2024-09-29T04:32:51,14,US,1000000,39900,16800,8300000,THE SEC IS TRUMP COUNTRY—THANK YOU!,False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7419392463917436190,2024-09-27T18:32:15,27,US,2000000,87000,41300,25000000,PEACE THROUGH STRENGTH,False,"I WILL END THIS WAR;President
Donald Trump;President
Zelenskyy",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7418998921667579166,2024-09-26T17:05:18,21,US,676500,14700,29600,8000000,SAVE OUR ECONOMY - VOTE TRUMP!,False,"I will bring back your jobs and the GREATEST ECONMY the United States has ever seen ;24,000 jobs",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7418034634249882910,2024-09-24T02:43:13,25,US,1800000,89300,46900,22100000,MAKE AMERICA AFFORDABLE AGAIN!,False,Grocery prices have EXPLODED - I will fix this;30%;40%;50%,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7417522182298799391,2024-09-22T17:34:35,15,US,1800000,112900,18600,14900000,"THANK YOU, NORTH CAROLINA!",False,"📍 WILMINGTON, NC",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7416544293873143071,2024-09-20T02:19:56,12,US,1200000,57600,13100,10200000,LET’S WIN—TOO BIG TO RIG 🇺🇸,False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7416144951446129951,2024-09-19T00:30:15,21,US,3000000,63900,48300,45300000,HAPPY BIRTHDAY LIAM! - Full Video:@Team Trump ,False,"President Trump Gifts Liam
a birthday present",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7415807368824392991,2024-09-18T02:40:17,11,US,1200000,16700,15300,15100000,,False,Meeting the officers that captured the man who tried to take my life,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7415359912940768542,2024-09-16T21:43:57,11,US,1900000,176300,23500,15600000,"THANK YOU, LAS VEGAS—I LOVE YOU!",False,"📍 LAS VEGAS, NV",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7414599502465600798,2024-09-14T20:33:07,14,US,1200000,28700,18000,11200000,"Kamala has had 3 1/2 years, why hasn’t she done it?!",False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7414171001619025182,2024-09-13T16:50:26,16,US,548800,11200,13000,6100000,TIME TO TAKE BACK AMERICA 🇺🇸,False,"📍 TUCSON, AZ",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7412753771584818463,2024-09-09T21:10:45,11,US,2400000,161300,26500,31500000,THANK YOU @ANUEL AA!,False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7412302605088574750,2024-09-08T16:00:02,9,US,668300,10100,12000,6900000,MAKE AMERICA HEALTHY AGAIN! ,False,"📍 MOSINEE, WI",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7410874572221844766,2024-09-04T19:38:27,27,US,682500,11900,34900,7400000,Save America. Vote Trump!,False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7408006919316655391,2024-08-28T02:10:33,19,US,667000,10600,23800,8400000,THANK YOU - TULSI GABBARD,False,"President Trump
Republican;Rep. Tulsi Gabbard
Independent",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7407571442088430878,2024-08-26T22:00:44,21,US,1800000,31000,33600,14100000,Should have never happened.,False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7405352804258237726,2024-08-20T22:31:16,9,US,862300,15100,47300,11700000,BACK THE BLUE!,False,Bring Back Law and Order 🇺🇸,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7403554630057135391,2024-08-16T02:13:23,15,US,2200000,123700,68800,28700000,STOP THIS DISASTER,False,,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7403175874607975710,2024-08-15T01:43:36,20,US,3100000,113100,123000,28300000,YOUR FUTURE IS AT STAKE,False,"$28,000",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7403080040516308255,2024-08-14T19:31:42,11,US,2100000,59300,50000,19400000,TOO BIG TO RIG #VOTE,False,"TOO BIG
TO RIG",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
